year,host_country,team,finish,difficulty,description_en,description_es,description_pt
1930,Uruguay,Argentina,Runner-up,5,"Beaten finalists of the very first World Cup, a skilful side fired by Guillermo Stábile's goals.","Subcampeones del primer Mundial, un equipo habilidoso impulsado por los goles de Guillermo Stábile.","Vice-campeões da primeira Copa, um time habilidoso movido pelos gols de Guillermo Stábile."
1930,Uruguay,Uruguay,Champion,5,"The first world champions, crowned at home. La Celeste plays with pure grit and never concedes a loose ball.","Los primeros campeones del mundo, coronados en casa. La Celeste juega con pura garra y no regala una sola pelota.","Os primeiros campeões mundiais, coroados em casa. A Celeste joga com raça pura e não entrega nenhuma bola."
1930,Uruguay,USA,3rd place,4,"Shock semifinalists in 1930, a big, athletic American team that bulldozed Europe before meeting Argentina.","Sorprendentes semifinalistas en 1930, un equipo estadounidense grande y atlético que arrolló a Europa antes de toparse con Argentina.","Surpreendentes semifinalistas em 1930, uma seleção americana grande e atlética que atropelou a Europa antes de encarar a Argentina."
1930,Uruguay,Yugoslavia,4th place,4,Fearless Balkan debutants who reached the semifinals on raw talent and nerve.,Intrépidos debutantes balcánicos que llegaron a semifinales a pura calidad y temple.,Destemidos estreantes balcânicos que chegaram às semifinais com talento e coragem.
1934,Italy,Czechoslovakia,Runner-up,5,"Elegant finalists led by goalkeeper Plánička and playmaker Nejedlý, undone late in the final.","Elegantes finalistas liderados por el arquero Plánička y el creador Nejedlý, vencidos al final.","Elegantes finalistas liderados pelo goleiro Plánička e o armador Nejedlý, batidos no fim."
1934,Italy,Italy,Champion,5,"Hosts and champions under Pozzo, a ruthless, physical machine that bent the tournament to its will.","Anfitriones y campeones bajo Pozzo, una máquina física e implacable que doblegó al torneo entero.","Anfitriões e campeões sob Pozzo, uma máquina física e implacável que dobrou o torneio à sua vontade."
1934,Italy,Austria,4th place,4,"The fabled 'Wunderteam' of Sindelar, all flowing passing and artistry, just short of the medals.","El mítico 'Wunderteam' de Sindelar, puro pase y arte, que se quedó a un paso de las medallas.","O lendário 'Wunderteam' de Sindelar, puro toque e arte, que ficou a um passo das medalhas."
1934,Italy,Germany,3rd place,4,"A sturdy, disciplined German side that ground its way to third place.",Un equipo alemán sólido y disciplinado que se abrió paso hasta el tercer puesto.,Uma seleção alemã sólida e disciplinada que avançou até o terceiro lugar.
1938,France,Hungary,Runner-up,5,"Skilful finalists, a first glimpse of the Hungarian school that would terrorise the 1950s.","Habilidosos finalistas, un primer anticipo de la escuela húngara que aterraría los años 50.","Habilidosos finalistas, um primeiro vislumbre da escola húngara que aterrorizaria os anos 50."
1938,France,Italy,Champion,5,"Back-to-back world champions, Pozzo's Azzurri proved the first dynasty of the game.",Bicampeones del mundo; los Azzurri de Pozzo fueron la primera dinastía del fútbol.,Bicampeões mundiais; os Azzurri de Pozzo foram a primeira dinastia do futebol.
1938,France,Brazil,3rd place,4,"Third place and a star born: Leônidas, the 'Black Diamond', dazzled with bicycle kicks and flair.","Tercer puesto y una estrella nacida: Leônidas, el 'Diamante Negro', deslumbró con chilenas y magia.","Terceiro lugar e uma estrela nascida: Leônidas, o 'Diamante Negro', encantou com bicicletas e ginga."
1938,France,Sweden,4th place,4,Hard-running Scandinavians who battled to fourth in their first deep run.,Escandinavos de mucho despliegue que pelearon hasta el cuarto puesto en su primera gran campaña.,Escandinavos de muita marcação que brigaram pelo quarto lugar em sua primeira grande campanha.
1950,Brazil,Brazil,Runner-up,5,"Hosts and overwhelming favourites, a thrilling attacking side stunned at the final hurdle.","Anfitriones y favoritos absolutos, un equipo ofensivo y vibrante que cayó en el último escalón.","Anfitriões e favoritos absolutos, um time ofensivo e vibrante atordoado no último degrau."
1950,Brazil,Uruguay,Champion,5,"The Maracanazo. La Celeste silenced 200,000 Brazilians to steal the title; they fight for every ball to the last.",El Maracanazo. La Celeste calló a 200.000 brasileños para robar el título; pelean cada pelota hasta el final.,O Maracanaço. A Celeste calou 200 mil brasileiros para roubar o título; brigam por cada bola até o fim.
1950,Brazil,Spain,4th place,4,A spirited Spanish side that reached the final group before fading to fourth.,Una España aguerrida que llegó al grupo final antes de diluirse al cuarto puesto.,Uma Espanha aguerrida que chegou ao grupo final antes de cair para o quarto lugar.
1950,Brazil,Sweden,3rd place,4,"Organised and brave, the Swedes claimed third in the final-pool format.","Ordenados y valientes, los suecos se quedaron con el tercer puesto en el formato de cuadrangular.","Organizados e corajosos, os suecos ficaram com o terceiro lugar no formato de quadrangular."
