player,season,team,overall,attack,defense,base_overall,podium_finish,era_boost,rating_source,photo
Juan Alberto Schiaffino,1950,Uruguay,93,87,69,91,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/schiaffino-juan.avif
Obdulio Varela,1950,Uruguay,88,60,82,88,Champion,0.0,historical_estimate,
Alcides Ghiggia,1950,Uruguay,86,84,57,87,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/ghiggia-alcides.avif
Óscar Míguez,1950,Uruguay,86,87,44,86,Champion,0.0,historical_estimate,
Víctor Rodríguez Andrade,1950,Uruguay,85,64,80,85,Champion,0.0,historical_estimate,
Roque Máspoli,1950,Uruguay,83,8,88,83,Champion,0.0,historical_estimate,
Julio Pérez,1950,Uruguay,82,80,50,82,Champion,0.0,historical_estimate,
Matías González,1950,Uruguay,80,50,80,80,Champion,0.0,historical_estimate,
Eusebio Tejera,1950,Uruguay,80,48,80,80,Champion,0.0,historical_estimate,
Ernesto Vidal,1950,Uruguay,79,82,48,79,Champion,0.0,historical_estimate,
Schubert Gambetta,1950,Uruguay,78,50,78,78,Champion,0.0,historical_estimate,
Juan Carlos González,1950,Uruguay,77,62,72,77,Champion,0.0,historical_estimate,
Aníbal Paz,1950,Uruguay,75,8,80,75,Champion,0.0,historical_estimate,
Rubén Morán,1950,Uruguay,74,78,50,74,Champion,0.0,historical_estimate,
Jack Charlton,1966,England,85,69,88,88,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/charlton-jack.avif
Bobby Charlton,1966,England,87,83,62,87,Champion,0.0,fivethirtyeight_zstats,
Geoff Hurst,1966,England,86,81,67,84,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/hurst-geoff.avif
Roger Hunt,1966,England,87,81,64,83,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/hunt-roger.avif
Alan Ball,1966,England,88,81,70,83,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/ball-alan.avif
Bobby Moore,1966,England,91,72,86,82,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/moore-bobby.avif
Martin Peters,1966,England,82,72,72,82,Champion,0.0,fivethirtyeight_zstats,
Nobby Stiles,1966,England,87,73,83,81,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/stiles-nobby.avif
Ray Wilson,1966,England,84,71,79,81,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/wilson-ray.avif
George Cohen,1966,England,78,66,67,78,Champion,0.0,fivethirtyeight_zstats,
Jimmy Greaves,1966,England,89,84,59,78,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/greaves-jimmy.avif
Gordon Banks,1966,England,91,14,94,74,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/banks-gordon.avif
Terry Paine,1966,England,75,61,49,75,Champion,0.0,fivethirtyeight_zstats,
Ian Callaghan,1966,England,84,80,62,73,Champion,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/callaghan-ian.avif
John Connelly,1966,England,72,56,50,72,Champion,0.0,fivethirtyeight_zstats,
Eusébio,1966,Portugal,93,90,68,94,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/eusbio.avif
José Torres,1966,Portugal,92,81,83,92,3rd place,0.0,fivethirtyeight_zstats,
Antonio Simoes,1966,Portugal,88,84,59,88,3rd place,0.0,fivethirtyeight_zstats,
Jose Augusto,1966,Portugal,86,81,67,86,3rd place,0.0,fivethirtyeight_zstats,
Jaime Graca,1966,Portugal,84,75,72,84,3rd place,0.0,fivethirtyeight_zstats,
Jose Alexandre Baptista,1966,Portugal,85,57,83,85,3rd place,0.0,fivethirtyeight_zstats,
Mario Coluna,1966,Portugal,89,82,76,84,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/coluna-mario.avif
Hilário Conceicao,1966,Portugal,82,65,79,82,3rd place,0.0,fivethirtyeight_zstats,
Vicente Lucas,1966,Portugal,80,56,75,80,3rd place,0.0,fivethirtyeight_zstats,
Alberto Festa,1966,Portugal,78,65,65,78,3rd place,0.0,fivethirtyeight_zstats,
Joao Morais,1966,Portugal,74,60,57,74,3rd place,0.0,fivethirtyeight_zstats,
Jose Pereira,1966,Portugal,74,10,76,74,3rd place,0.0,fivethirtyeight_zstats,
José Carlos,1966,Portugal,74,55,60,74,3rd place,0.0,fivethirtyeight_zstats,
Germano,1966,Portugal,86,72,87,72,3rd place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/germano.avif
Joaquim Carvalho,1966,Portugal,71,10,74,71,3rd place,0.0,fivethirtyeight_zstats,
Anatoliy Banishevskiy,1966,USSR,85,74,55,85,4th place,0.0,fivethirtyeight_zstats,
Eduard Malofeev,1966,USSR,85,77,54,85,4th place,0.0,fivethirtyeight_zstats,
Igor Chislenko,1966,USSR,83,77,54,83,4th place,0.0,fivethirtyeight_zstats,
Valeri Porkujan,1966,USSR,82,68,51,82,4th place,0.0,fivethirtyeight_zstats,
Albert Shesternev,1966,USSR,81,58,77,81,4th place,0.0,fivethirtyeight_zstats,
Vladimir Ponomarev,1966,USSR,81,63,74,81,4th place,0.0,fivethirtyeight_zstats,
Galimzian Khusainov,1966,USSR,78,70,58,78,4th place,0.0,fivethirtyeight_zstats,
Josif Sabo,1966,USSR,77,68,67,77,4th place,0.0,fivethirtyeight_zstats,
Murtaz Khurtsilava,1966,USSR,77,56,69,77,4th place,0.0,fivethirtyeight_zstats,
Valeri Voronin,1966,USSR,77,61,66,77,4th place,0.0,fivethirtyeight_zstats,
Vasili Danilov,1966,USSR,76,59,63,76,4th place,0.0,fivethirtyeight_zstats,
Slava Metreveli,1966,USSR,75,63,52,75,4th place,0.0,fivethirtyeight_zstats,
Georgij Sichinava,1966,USSR,74,58,59,74,4th place,0.0,fivethirtyeight_zstats,
Leonid Ostrovski,1966,USSR,74,56,57,74,4th place,0.0,fivethirtyeight_zstats,
Viktor Serebrjanikov,1966,USSR,74,59,56,74,4th place,0.0,fivethirtyeight_zstats,
Aleksey Korneev,1966,USSR,73,55,56,73,4th place,0.0,fivethirtyeight_zstats,
Lev Yashin,1966,USSR,94,14,97,73,4th place,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/yashin-lev.avif
Anzor Kavazashvili,1966,USSR,72,10,73,72,4th place,0.0,fivethirtyeight_zstats,
Eduard Markarov,1966,USSR,72,56,50,72,4th place,0.0,fivethirtyeight_zstats,
Valentin Afonin,1966,USSR,72,55,52,72,4th place,0.0,fivethirtyeight_zstats,
Victor Getmanov,1966,USSR,71,54,51,71,4th place,0.0,fivethirtyeight_zstats,
Helmut Haller,1966,West Germany,86,86,64,89,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/haller-helmut.avif
Uwe Seeler,1966,West Germany,89,84,69,89,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/seeler-uwe.avif
Franz Beckenbauer,1966,West Germany,95,83,85,87,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/beckenbauer-franz.avif
Siegfried Held,1966,West Germany,87,84,55,87,Runner-up,0.0,fivethirtyeight_zstats,
Karl-Heinz Schnellinger,1966,West Germany,88,72,88,85,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/schnellinger-karl-heinz.avif
Willi Schulz,1966,West Germany,88,69,90,85,Runner-up,0.0,legendsdb,https://auth.legendsdatabase.com/storage/v1/object/public/players/schulz-willi.avif
Wolfgang Weber,1966,West Germany,83,63,79,83,Runner-up,0.0,fivethirtyeight_zstats,
